,stemMin,stemMax,numberOfStemPeers,stemReductionMin,stemReductionMax,hops_mean,hops_median,hops_stdd,hops_min,hops_max,starting_stem_mean,starting_stem_median,starting_stem_stdd,starting_stem_min,starting_stem_max
44,1,3,2,0.3,1.5000000000000002,1.7999,2.0,0.8529126508617398,1,7,1.9999,2.0,0.8128345403586145,1,3
45,1,3,2,0.3,1.6,1.7464,2.0,0.8195651529927319,1,7,1.9993,2.0,0.814923008633331,1,3
46,1,3,2,0.3,1.7000000000000002,1.6992,2.0,0.7892524057613001,1,6,1.9985,2.0,0.8154126256074282,1,3
47,1,3,2,0.3,1.8,1.6576,2.0,0.7633886559282892,1,7,1.9969,2.0,0.8139351264075043,1,3
48,1,3,2,0.4,0.4,3.1018,3.0,1.8244003836877474,1,14,1.9963,2.0,0.8162636277576013,1,3
49,1,3,2,0.4,0.5,2.8431,3.0,1.6045816869203013,1,12,2.0065,2.0,0.8146519195337355,1,3
50,1,3,2,0.4,0.6000000000000001,2.6883,3.0,1.4492560539808004,1,10,2.0041,2.0,0.8154036975633603,1,3
51,1,3,2,0.4,0.7000000000000001,2.5314,2.0,1.309203589973691,1,10,1.9928,2.0,0.8167913809535455,1,3
52,1,3,2,0.4,0.8,2.4377,2.0,1.234227981371351,1,9,1.996,2.0,0.8176698600290951,1,3
53,1,3,2,0.4,0.9,2.3714,2.0,1.1674168235895865,1,10,1.9961,2.0,0.815649918776432,1,3
54,1,3,2,0.4,1.0,2.3222,2.0,1.1359520940603087,1,9,1.9908,2.0,0.8187278913045531,1,3
55,1,3,2,0.4,1.1,2.1327,2.0,1.0479936593319636,1,9,1.9924,2.0,0.8177666170736001,1,3
56,1,3,2,0.4,1.2000000000000002,2.021,2.0,0.9894235695595693,1,7,2.0086,2.0,0.8225120303071561,1,3
57,1,3,2,0.4,1.3,1.8918,2.0,0.9104354782190772,1,7,1.9881,2.0,0.821315036998593,1,3
58,1,3,2,0.4,1.4,1.819,2.0,0.8623450585467515,1,7,2.0021,2.0,0.8172487932080413,1,3
59,1,3,2,0.4,1.5,1.7398,2.0,0.8160244849267698,1,6,1.9733,2.0,0.8199921402062339,1,3
60,1,3,2,0.4,1.6,1.7005,2.0,0.7821762908705427,1,7,1.9944,2.0,0.8129997785977559,1,3
61,1,3,2,0.4,1.7000000000000002,1.6615,2.0,0.7470727876184489,1,6,2.0076,2.0,0.814458249390354,1,3
62,1,3,2,0.4,1.8000000000000003,1.6202,2.0,0.7152286068104379,1,6,1.9843,2.0,0.8137895981148936,1,3
